CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 1.175 0 0.0312988758087 0.182975935936 1.81494212151 0.0351691246033 0.0558321475983 0.724007129669 0.763536930084 0.998977505112 0.998977505112 0 0 0 0
2 2.25 0 0.0312559604645 0.219213619232 2.05278301239 0.0353701114655 0.0657360553741 0.706069946289 0.989819049835 0.993055555556 0.993055555556 0 0 0 0
3 3.335 0 0.0322239398956 0.265136651192 2.77566003799 0.0373561382294 0.07865691185 0.793012857437 1.14274501801 0.984848484848 0.984848484848 0 0 0 0
4 4.1875 0 0.0309679508209 0.300328973514 2.8081381321 0.0395882129669 0.132148981094 0.853668212891 1.20361804962 0.987076392878 0.987076392878 0 0 0 0
5 4.5475 0 0.0317149162292 0.450426139433 4.96155595779 0.0457849502563 0.182961940765 1.25580191612 1.81731390953 0.966155473295 0.966155473295 0 0 0 0
7 5.0725 0 0.0319120883942 0.713382575358 14.7995250225 0.052994966507 0.328501939774 1.8319439888 2.87207102775 0.937411095306 0 0.937411095306 0 0 0
10 5.2375 0 0.0317680835724 1.25355345309 9.09929990768 0.122286081314 0.772386074066 3.16352415085 4.60525608063 0.859109683341 0 0.859109683341 0 0 0
15 5.205 0 0.0367970466614 2.19268550664 9.5654129982 0.562191009521 1.7757499218 4.41400289536 5.86030912399 0.692165898618 0 0 0 0.692165898618 0
20 5.2875 0 0.0612258911133 3.10935253556 12.0685548783 1.192289114 2.71753811836 5.60893177986 7.05186796189 0.559464366773 0 0 0 0.559464366773 0
25 5.35 0 0.140161037445 4.01129431624 13.171159029 1.81065487862 3.56990599632 6.90983009338 8.35742902756 0.479464285714 0 0 0 0 0.479464285714
30 5.825 0 0.188081026077 4.50692650064 15.3478209972 1.73968195915 4.09618997574 7.80045700073 9.18674778938 0.453852492789 0 0 0 0 0.453852492789
35 5.595 0 0.285800933838 5.59955343665 19.8535108566 2.28537893295 5.01655101776 9.60708189011 11.7734229565 0.367993153616 0 0 0 0 0.367993153616
40 5.8375 0 0.234844923019 6.2115759048 44.1159241199 2.38508081436 5.43320894241 11.0685989857 12.7016861439 0.323805634953 0 0 0 0 0.323805634953
45 5.7575 0 0.224560976028 7.13715298684 27.0345821381 2.88154196739 6.33486509323 12.1625258923 14.2532680034 0.260242474916 0 0 0 0 0.260242474916
50 5.95 0 0.0743010044098 7.75638322419 41.1732308865 3.16505980492 7.32731795311 12.7602488995 14.5980679989 0.218775344688 0 0 0 0 0.218775344688
55 5.825 0 0.350597858429 8.69474956345 27.9731698036 3.60557389259 8.04596686363 14.5045468807 17.3682749271 0.204115226337 0 0 0 0 0.204115226337
60 6.01 0 0.194742918015 9.34768624234 41.9012322426 3.96563601494 8.50356388092 15.7982029915 18.4031579494 0.180749302511 0 0 0 0 0.180749302511
65 5.535 0 0.211541175842 11.0463612336 50.9810760021 4.38230705261 9.86534404755 19.0003259182 23.6978828907 0.160583941606 0 0 0 0 0.160583941606
70 5.3 0 0.256813049316 12.4279017383 35.4425368309 6.01509904861 12.0881419182 18.6884009838 22.1078281403 0.107095046854 0 0 0 0 0.107095046854
75 5.83 0 0.135812997818 12.2104019415 56.2414190769 5.05798602104 11.2362120152 21.3609900475 23.2057960033 0.136160714286 0 0 0 0 0.136160714286
80 5.79 0 0.335529088974 13.1333978859 43.9078679085 5.51265597343 11.681237936 22.8838570118 26.7640039921 0.121472392638 0 0 0 0 0.121472392638
85 5.8575 0 0.224951982498 13.6460014796 49.7441420555 5.50933098793 12.2274861336 24.0286848545 27.9983947277 0.115821501014 0 0 0 0 0.115821501014
90 5.7475 0 0.150474071503 14.8096800227 67.6882741451 5.03212714195 13.6811490059 26.1972260475 31.3652319908 0.122751986616 0 0 0 0 0.122751986616
