CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 012.001 0 0.0683341026306 0.173126379649 0.390276908875 0.0700540542603 0.152495861053 0.287446975708 0.390276908875 1.0
2 012.001 0 0.0657360553741 0.211207803558 0.569400072098 0.0772268772125 0.163136005402 0.380234956741 0.438079118729 1.0
3 012.001 0 0.0687320232391 0.287380690668 1.13967895508 0.13122010231 0.202594041824 0.558928012848 0.660991191864 1.0
4 012.001 0 0.0589330196381 0.328273564577 1.2533519268 0.0777258872986 0.252546072006 0.669437885284 0.961024999619 1.0
5 012.001 0 0.0618321895599 0.436131795247 1.43494796753 0.133074998856 0.35547709465 0.990000963211 1.20233607292 1.0
7 012.001 0 0.139845132828 1.14725934375 14.7995250225 0.19439291954 0.813696861267 2.27828121185 2.87710905075 0.896103896104
10 012.001 0 0.102648973465 1.7380896188 4.52076816559 0.457822084427 1.62746596336 3.46301198006 3.58679509163 0.696202531646
15 012.001 0 0.903637170792 2.81942552811 5.26235699654 1.49218201637 2.86804199219 4.13845682144 4.91607308388 0.554054054054
20 012.001 0 0.514412164688 3.81288445592 7.67810416222 2.0399889946 3.6134159565 6.14195895195 6.43745613098 0.45
25 012.001 0 1.50748801231 4.52705706596 8.94533801079 2.77843904495 4.36196899414 6.5749900341 7.12135481834 0.426666666667
30 012.001 0 0.961816072464 5.85553419325 12.2430729866 3.60620117188 5.6812069416 8.60385298729 9.41077017784 0.294444444444
35 012.001 0 1.47110390663 6.96900804043 13.3995010853 4.02320313454 7.03281998634 9.97757387161 10.8674900532 0.157142857143
40 012.001 0 2.96524786949 10.0718504608 44.1159241199 4.91226601601 9.37813186646 13.1386051178 14.7370510101 0.0625
45 012.001 0 2.46313285828 10.0430932522 24.1085801125 6.4948117733 9.6539440155 14.7793359756 17.0780580044 0.0388888888889
50 012.001 0 4.56652998924 11.5054427566 41.1732308865 7.89254283905 11.0136640072 15.5391001701 18.3167049885 0.020202020202
55 012.001 0 5.21608400345 11.8121567158 27.4572048187 6.87273406982 10.5321340561 17.9773340225 18.9110491276 0.0147058823529
60 012.001 0 3.97812104225 13.3811329683 24.563215971 8.90493607521 13.8312439919 17.6709041595 18.490858078 0.0166666666667
65 012.001 0 2.1440551281 17.144862164 50.9810760021 9.21982908249 15.5950038433 28.1607599258 29.4559431076 0.0153846153846
70 012.001 0 7.22610402107 15.1342211383 30.7221288681 10.7659420967 15.0304889679 20.1610319614 20.9302961826 0.0
75 012.001 0 9.21917295456 17.8230853812 56.2414190769 11.5171310902 17.7134490013 23.1902620792 24.5694489479 0.0
80 012.001 0 1.28226590157 19.4567810953 29.3468880653 11.1263229847 20.3785440922 27.2598659992 28.2029001713 0.01875
85 012.001 0 2.17816019058 19.8163841556 39.2450201511 9.68083000183 20.2454068661 32.5265419483 33.9529058933 0.0117647058824
90 012.001 0 7.04009008408 20.3996548838 44.4859759808 11.5812549591 17.3439559937 37.7195568085 43.1533799171 0.0
