CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 1.2225 0 0.0310981273651 0.175866441493 1.81494212151 0.034383058548 0.0542550086975 0.694338083267 0.753925085068 0.998977505112
2 2.34 0 0.0312559604645 0.210782326185 2.05278301239 0.0349948406219 0.0642871856689 0.631690979004 0.956439971924 0.993055555556
3 3.465 0 0.0313410758972 0.255189244365 2.77566003799 0.0361919403076 0.0728080272675 0.760074853897 1.11322879791 0.984848484848
4 4.3525 0 0.0309679508209 0.288943728108 2.8081381321 0.0375349521637 0.123248100281 0.831959962845 1.16105008125 0.987076392878
5 4.7275 0 0.0311880111694 0.43327612249 4.96155595779 0.0445909500122 0.163375854492 1.22890210152 1.78990006447 0.966155473295
7 5.2725 0 0.0313601493835 0.686322069892 14.7995250225 0.0513219833374 0.308892011642 1.73389291763 2.78482484818 0.937411095306
10 5.4475 0 0.031417131424 1.20522922636 9.09929990768 0.0981822013855 0.719363927841 3.00378012657 4.54156184196 0.859109683341
15 5.425 0 0.0312180519104 2.1037655414 9.44396805763 0.409186840057 1.70593881607 4.32519698143 5.76460695267 0.692165898618
20 5.5075 0 0.0315210819244 2.98514780422 12.0310149193 0.95324587822 2.64369010925 5.54587006569 6.96467900276 0.559464366773
25 5.6 0 0.0309510231018 3.83221867712 13.0522780418 1.38285517693 3.47262382507 6.82703590393 8.22121906281 0.479464285714
30 6.0675 0 0.0310170650482 4.32679800021 15.3478209972 1.31372094154 4.02184200287 7.7697968483 9.00081992149 0.453852492789
35 5.8425 0 0.0309391021729 5.36234513959 19.8535108566 1.72580504417 4.88585591316 9.55882692337 11.6644389629 0.367993153616
40 6.1225 0 0.031149148941 5.92242945599 44.1159241199 1.95333218575 5.21000885963 10.9490029812 12.5744719505 0.323805634953
45 5.98 0 0.0313451290131 6.87159838156 27.0345821381 2.58034396172 6.20140790939 12.0559060574 14.0744979382 0.260242474916
50 6.165 0 0.031261920929 7.48588486358 41.1732308865 2.66408014297 7.12853693962 12.6672110558 14.4116148949 0.218775344688
55 6.075 0 0.0312488079071 8.33694093944 27.8842988014 3.21581196785 7.75529718399 14.3501319885 17.2604029179 0.204115226337
60 6.2725 0 0.0309240818024 8.95649172044 41.8210711479 3.55735206604 8.27883601189 15.6758179665 18.3046228886 0.180749302511
65 5.8225 0 0.0312972068787 10.5009204685 50.9810760021 3.69418287277 9.51569008827 18.7465469837 23.4560439587 0.160583941606
70 5.6025 0 0.0312509536743 11.7568726842 35.2182769775 3.95479083061 11.7233500481 18.4560351372 21.9098830223 0.107095046854
75 6.1625 0 0.0309720039368 11.5522986331 56.2414190769 3.73874807358 10.650881052 21.1069488525 23.0922050476 0.13630831643
80 6.1125 0 0.0312340259552 12.4404701446 43.9078679085 4.47366404533 11.2565340996 22.5126750469 26.4812130928 0.121472392638
85 6.1625 0 0.0311789512634 12.9706212847 49.7441420555 3.56965494156 11.7686150074 23.7624149323 27.6341919899 0.115821501014
90 5.9775 0 0.0311720371246 14.2398387169 67.6470520496 4.10562610626 13.394231081 26.0556221008 31.0522549152 0.122751986616
