CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 1.1275 0 0.0321638584137 0.215451298162 17.3803291321 0.0351750850677 0.0536239147186 0.696090936661 0.767287015915 0.997867803838 0.997867803838 0 0 0 0
2 2.2825 0 0.0310010910034 0.204335786166 2.78024101257 0.035817861557 0.0646140575409 0.493187904358 0.875972986221 0.994731296101 0.994731296101 0 0 0 0
3 3.155 0 0.0314199924469 0.27926500928 3.24604511261 0.0366060733795 0.081207036972 0.823278188705 1.3410589695 0.981326219512 0.981326219512 0 0 0 0
4 4.015 0 0.0321309566498 0.34615842625 6.24913787842 0.0412130355835 0.12481212616 1.02154994011 1.52319908142 0.974550898204 0.974550898204 0 0 0 0
5 4.65 0 0.0324120521545 0.408298164927 4.77290511131 0.0449450016022 0.169765949249 1.14999604225 1.66934204102 0.970527404343 0.970527404343 0 0 0 0
10 4.895 0 0.0339140892029 1.3808688768 8.90633893013 0.142288208008 0.88810801506 3.50777101517 4.98925304413 0.842906234659 0 0 0.842906234659 0 0
15 5.0025 0 0.0352711677551 2.34985051687 17.8445661068 0.522298812866 1.82770800591 4.86551094055 6.52692294121 0.679702495202 0 0 0 0.679702495202 0
20 5.235 0 0.0504641532898 3.18402138742 11.4191150665 1.25152397156 2.7006380558 5.86863303185 7.34175014496 0.544495412844 0 0 0 0.544495412844 0
25 5.6825 0 0.103085041046 3.72846454689 14.8335268497 1.25498509407 3.2565779686 7.01237916946 8.21482896805 0.509708737864 0 0 0 0.509708737864 0
30 6.0025 0 0.152987957001 4.34173425214 15.7122311592 1.72923803329 3.98007392883 7.34255814552 8.99240994453 0.465696051057 0 0 0 0 0.465696051057
40 6.36 0 0.298700809479 5.59661131357 22.7000720501 2.2974050045 4.88975691795 9.70967817307 11.018228054 0.350207000376 0 0 0 0 0.350207000376
