CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 012.001 0 0.0535428524017 0.120792164522 0.26162981987 0.0545170307159 0.12831401825 0.226660966873 0.26162981987 1.0
2 012.001 0 0.0531411170959 0.147537102018 0.391735076904 0.0603199005127 0.120998859406 0.294147014618 0.312077999115 1.0
3 012.001 0 0.0571160316467 0.30255027612 2.30222010612 0.0605800151825 0.15016913414 0.781071901321 1.40415406227 0.979166666667
4 012.001 0 0.054417848587 0.352406819661 2.22093391418 0.0674059391022 0.15492105484 0.896045923233 1.92867994308 0.966666666667
5 012.001 0 0.0527138710022 0.319828913245 2.17480897903 0.0646231174469 0.167040109634 0.715521812439 0.869123935699 0.978873239437
10 012.001 0 0.0617291927338 1.33545394739 5.17185902596 0.155889034271 1.2261030674 2.41551089287 2.72907614708 0.777777777778
15 012.001 0 0.286689996719 2.50468781789 8.27347898483 0.739213943481 2.46597981453 4.13548803329 4.48139214516 0.613333333333
20 012.001 0 0.568665981293 3.21753332615 6.57045006752 1.59794092178 2.98303508759 5.02439403534 6.02940201759 0.5125
25 012.001 0 1.28817296028 3.99335755348 9.38558697701 2.1155359745 3.68933987617 5.93618297577 8.01808595657 0.466666666667
30 012.001 0 0.938289165497 5.0842575656 9.49616003036 3.07536196709 4.80891394615 7.73249101639 8.07033586502 0.366666666667
40 012.001 0 2.15182304382 6.97761836648 12.0264031887 3.97832107544 6.9870390892 9.63435697556 11.135037899 0.175
