CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 1.1725 0 0.031121969223 0.207182378403 17.3803291321 0.0342428684235 0.0529289245605 0.692847013474 0.749872922897 0.997867803838
2 2.3725 0 0.0308170318604 0.196584375942 2.78024101257 0.0350720882416 0.061986207962 0.481096982956 0.87184214592 0.994731296101
3 3.28 0 0.0308887958527 0.26862228789 3.24604511261 0.035945892334 0.0742518901825 0.781071901321 1.32568192482 0.981326219512
4 4.175 0 0.0317838191986 0.332892474586 6.16693496704 0.038938999176 0.119049072266 0.976425886154 1.50319910049 0.974550898204
5 4.835 0 0.0315160751343 0.392675587778 4.77290511131 0.0423698425293 0.155472993851 1.11883997917 1.60575389862 0.970527404343
10 5.0925 0 0.0314559936523 1.32731529738 8.90633893013 0.114213943481 0.839853048325 3.38169407845 4.94922494888 0.842906234659
15 5.21 0 0.0312061309814 2.25626242046 17.7348320484 0.354420900345 1.76353192329 4.71827101707 6.33188796043 0.679702495202
20 5.45 0 0.0299620628357 3.05841320425 11.4191150665 0.969435930252 2.63983488083 5.75796198845 7.31983184814 0.544495412844
25 5.9225 0 0.0299060344696 3.57737438374 14.8335268497 0.96231007576 3.14503717422 6.94595193863 8.08669614792 0.509708737864
30 6.2675 0 0.0298869609833 4.15815873131 15.682008028 1.22067189217 3.86988902092 7.27639293671 8.87376999855 0.465696051057
40 6.6425 0 0.0299789905548 5.35859208947 22.668970108 1.99277901649 4.76194381714 9.66493606567 10.9843862057 0.350207000376
