CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 1.345 0 0.033234834671 0.114065804889 2.2631289959 0.0346629619598 0.0518910884857 0.24956703186 0.260355949402 0.996428571429 0.996428571429 0 0 0 0
2 2.575 0 0.0312819480896 0.121948212096 2.14702701569 0.034863948822 0.0552279949188 0.257710933685 0.3138859272 0.997196261682 0.997196261682 0 0 0 0
3 3.865 0 0.0319221019745 0.117802090972 1.45023488998 0.0351121425629 0.0570621490479 0.26290178299 0.362375974655 1.0 1.0 0 0 0 0
4 4.97 0 0.0302119255066 0.13794290156 2.68714785576 0.0353970527649 0.0598599910736 0.2907371521 0.437899112701 0.99757751938 0.99757751938 0 0 0 0
5 5.875 0 0.0304589271545 0.180838751489 2.88242602348 0.0371840000153 0.0803198814392 0.38121008873 0.557447910309 0.993453355155 0.993453355155 0 0 0 0
7 7.87 0 0.0304539203644 0.222760622201 2.86692500114 0.0388140678406 0.113839864731 0.486289024353 0.733543157578 0.992962056304 0.992962056304 0 0 0 0
10 10.33 0 0.0299820899963 0.323738573828 3.73604679108 0.0485670566559 0.179705142975 0.758505105972 1.11587905884 0.989297347604 0.989297347604 0 0 0 0
15 11.84 0 0.0311949253082 0.613887422794 3.86969304085 0.104514837265 0.420742034912 1.49016904831 1.89372205734 0.954120990662 0.954120990662 0 0 0 0
20 11.945 0 0.0300710201263 1.02960959844 4.09244918823 0.251955986023 0.88846206665 2.02782702446 2.38353896141 0.8961352657 0 0.8961352657 0 0 0
25 11.93 0 0.0938451290131 1.45546240599 5.1661491394 0.646347045898 1.32705593109 2.44225502014 2.88136386871 0.804602341542 0 0 0.804602341542 0 0
30 12.035 0 0.0658330917358 1.86149164984 5.93992090225 0.986967086792 1.76015710831 2.88364005089 3.31628513336 0.697169059011 0 0 0 0.697169059011 0
35 11.855 0 0.131795167923 2.293172618 6.8283290863 1.14930391312 2.1667509079 3.62131309509 4.13690400124 0.621298174442 0 0 0 0.621298174442 0
40 11.77 0 0.15518283844 2.75682725619 9.0361969471 1.52838611603 2.63741898537 4.17636299133 4.70230698586 0.560950832995 0 0 0 0.560950832995 0
