CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 014.002 0 0.0508260726929 0.120038414001 0.161300897598 0.0513579845428 0.144728183746 0.161300897598 0.161300897598 1.0
2 014.002 0 0.0482470989227 0.129642128944 1.05420088768 0.0504109859467 0.0528588294983 0.260153055191 1.05420088768 1.0
3 014.002 0 0.0494508743286 0.0743498555545 0.193506002426 0.0500099658966 0.0518369674683 0.179151058197 0.191790103912 1.0
4 014.002 0 0.0492539405823 0.0763783970394 0.190366029739 0.0496418476105 0.05317902565 0.147948026657 0.161523103714 1.0
5 014.002 0 0.0501539707184 0.147913001304 0.529591083527 0.051017999649 0.131517887115 0.336362123489 0.352193117142 1.0
7 014.002 0 0.0487787723541 0.157779899694 0.822168827057 0.0506899356842 0.119059085846 0.362781047821 0.435797929764 1.0
10 014.002 0 0.0505878925323 0.262969197371 0.836205005646 0.0523869991302 0.182038068771 0.594453811646 0.671068906784 1.0
15 014.002 0 0.0552430152893 0.507341856367 1.68540692329 0.138792991638 0.435882806778 0.971620798111 1.02770400047 0.988764044944
20 014.002 0 0.0823509693146 0.86060796255 2.22928905487 0.392946958542 0.71359205246 1.5149230957 1.735268116 0.944444444444
25 014.002 0 0.37383890152 1.16866017271 2.78841090202 0.593670129776 1.06657314301 1.74870300293 2.04148316383 0.882716049383
30 014.002 0 0.52804684639 1.59928908878 3.19206404686 0.822434902191 1.59048700333 2.32832098007 2.50561213493 0.716666666667
35 014.002 0 0.57063293457 1.79180244661 3.3171441555 0.959000825882 1.71297621727 2.62671279907 2.94199800491 0.654929577465
40 014.002 0 0.585207939148 2.38260867596 4.80775594711 1.58708381653 2.29843997955 3.45441102982 3.69875001907 0.54375
