CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 1.4 0 0.0314319133759 0.109584648269 2.2631289959 0.0342650413513 0.0513579845428 0.248490095139 0.259742021561 0.996428571429
2 2.675 0 0.031121969223 0.117389400429 2.14702701569 0.0343570709229 0.0541877746582 0.252128124237 0.313035011292 0.997196261682
3 4.015 0 0.0308339595795 0.113401016589 1.45023488998 0.0347471237183 0.0552790164948 0.260698080063 0.356239080429 1.0
4 5.16 0 0.0302119255066 0.132863608673 2.68714785576 0.0345721244812 0.0576109886169 0.285210132599 0.434854984283 0.99757751938
5 6.115 0 0.0304589271545 0.173787560896 2.88242602348 0.0364739894867 0.0715320110321 0.355118989944 0.538844108582 0.993458708095
7 8.17 0 0.0304539203644 0.214580917592 2.86692500114 0.0378439426422 0.105633974075 0.474517822266 0.71812415123 0.992962056304
10 10.745 0 0.0299820899963 0.311234943475 3.73604679108 0.0472571849823 0.166033983231 0.744853973389 1.08095693588 0.989297347604
15 12.315 0 0.0311949253082 0.590209263977 3.86969304085 0.0894649028778 0.400062084198 1.45489501953 1.87350702286 0.954120990662
20 12.42 0 0.0300710201263 0.990232419756 4.09244918823 0.167495012283 0.853950023651 2.00209307671 2.34486794472 0.8961352657
25 12.385 0 0.0325050354004 1.40199164339 5.1661491394 0.528789997101 1.29423093796 2.40956687927 2.8632349968 0.804602341542
30 12.54 0 0.0310130119324 1.78652727319 5.93992090225 0.866970062256 1.71451997757 2.86499404907 3.2978079319 0.697169059011
35 12.325 0 0.0314729213715 2.20572506177 6.8283290863 0.96998000145 2.11934399605 3.58507084846 4.09312701225 0.621298174442
40 12.305 0 0.0316009521484 2.63696520157 9.0361969471 1.34858989716 2.58032107353 4.14599704742 4.6561999321 0.560950832995
