CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 1.05 0 0.0324440002441 0.101990842819 0.940477848053 0.0349009037018 0.0571091175079 0.246434926987 0.26044011116 1.0 1.0 0 0 0 0
2 1.94 0 0.0309810638428 0.116431838458 2.10525798798 0.0352840423584 0.0582191944122 0.248236179352 0.265740156174 0.995327102804 0.995327102804 0 0 0 0
3 3.06 0 0.0308439731598 0.110758746372 1.1352159977 0.0346460342407 0.0574061870575 0.247597932816 0.361639976501 1.0 1.0 0 0 0 0
4 3.75 0 0.0307939052582 0.162728160858 3.22794508934 0.0359590053558 0.060182094574 0.285089015961 0.455878973007 0.990338164251 0.990338164251 0 0 0 0
5 4.5 0 0.0302619934082 0.234511675835 2.46197295189 0.038046836853 0.078761100769 0.462646961212 1.44250702858 0.979797979798 0.979797979798 0 0 0 0
10 8.66 0 0.029876947403 0.250222642482 3.85509705544 0.0433888435364 0.133193969727 0.540030002594 0.888736963272 0.991623036649 0.991623036649 0 0 0 0
15 11.37 0 0.0312008857727 0.434207028848 3.62799096108 0.0629379749298 0.24844288826 1.03625893593 1.59883785248 0.975697211155 0.975697211155 0 0 0 0
20 11.56 0 0.0324749946594 0.860216305536 4.58069014549 0.139230012894 0.660422086716 1.89491200447 2.22515702248 0.926609105181 0 0.926609105181 0 0 0
25 12.22 0 0.032986164093 1.15846875725 5.07889103889 0.16947722435 1.0242960453 2.3099629879 2.70675492287 0.867483296214 0 0.867483296214 0 0 0
30 12.14 0 0.0890159606934 1.58188253828 6.11213994026 0.692641973495 1.40327596664 2.83318090439 3.18102312088 0.796489917849 0 0 0.796489917849 0 0
35 12.48 0 0.112582921982 1.92353995163 6.58113074303 0.694854974747 1.70318412781 3.47958803177 4.04341697692 0.729847494553 0 0 0.729847494553 0 0
40 12.27 0 0.0450239181519 2.37656911506 6.91142606735 1.04510879517 2.19545602798 3.91049909592 4.52747797966 0.647492625369 0 0 0 0.647492625369 0
50 11.78 0 0.217988967896 3.34028961784 11.7216129303 1.56410312653 3.05870008469 5.39083600044 6.2429010868 0.561784897025 0 0 0 0.561784897025 0
60 12.23 0 0.132853984833 4.00509360416 18.7987141609 2.04681992531 3.76368999481 6.53485107422 7.28501701355 0.502958579882 0 0 0 0.502958579882 0
70 12.03 0 0.168669939041 5.02588302794 15.779186964 2.9154150486 4.65753507614 8.20293402672 9.33161115646 0.448223733938 0 0 0 0 0.448223733938
80 11.6 0 0.103751182556 6.12981151157 19.1541090012 2.36227083207 5.95346784592 9.79942989349 10.9124388695 0.353281853282 0 0 0 0 0.353281853282
90 11.24 0 0.186716079712 7.1351333269 25.1311628818 2.74247789383 6.73958802223 11.8849170208 15.6986589432 0.313291139241 0 0 0 0 0.313291139241
100 11.05 0 0.208411931992 8.15443920312 31.2235240936 2.42584609985 7.50233197212 14.214662075 15.4574930668 0.273462783172 0 0 0 0 0.273462783172
120 11.22 0 0.0442080497742 10.0081818954 48.5497000218 3.23887109756 8.65270709991 17.4897601604 18.7278780937 0.230305466238 0 0 0 0 0.230305466238
140 11.16 0 0.0752370357513 11.5948623494 69.1110169888 2.18691802025 10.0545291901 21.4753830433 25.5172140598 0.232793522267 0 0 0 0 0.232793522267
160 10.39 0 0.194664001465 14.6730547688 69.3417162895 4.47829794884 12.3077270985 29.2297587394 36.2833030224 0.199309749784 0 0 0 0 0.199309749784
180 10.92 0 1.21353793144 15.9806198041 57.91979599 4.7557618618 13.4860789776 33.2083439827 38.8614168167 0.133855024712 0 0 0 0 0.133855024712
200 10.12 0 3.08760499954 19.1787755845 100.166684866 7.45452690125 14.9795758724 34.7764289379 40.7244110107 0.0714285714286 0 0 0 0 0.0714285714286
250 9.58 0 5.27565288544 25.3884640997 78.7446439267 12.5935459137 24.395234108 42.6533050537 49.0528690815 0.0199115044248 0 0 0 0 0.0199115044248
300 9.07 0.11013215859 7.9865090847 32.3422014417 85.4794282913 15.5868148804 29.6999750137 54.0254189968 60.6412918568 0.0 0 0 0 0 0.0
