CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.002 0 0.0537240505219 0.080154765736 0.317313909531 0.0537528991699 0.0553340911865 0.0627539157867 0.317313909531 1.0
2 001.002 0 0.0541598796844 0.0830790638924 0.177569150925 0.0545408725739 0.056412935257 0.15579199791 0.177569150925 1.0
3 001.002 0 0.0534040927887 0.131048794716 0.576925992966 0.0540499687195 0.0700001716614 0.214270114899 0.400370121002 1.0
4 001.002 0 0.0537858009338 0.111659636864 0.298732042313 0.0540378093719 0.0787079334259 0.26044678688 0.272927045822 1.0
5 001.002 0 0.0539491176605 0.165698220995 1.90092682838 0.054890871048 0.108794927597 0.245657920837 0.287048816681 0.988888888889
10 001.002 0 0.0533158779144 0.314429934105 2.24115610123 0.0574061870575 0.196120977402 0.707878112793 1.0720448494 0.988764044944
15 001.002 0 0.0541410446167 0.579508409662 2.92608499527 0.131989002228 0.345309972763 1.60068893433 1.98408603668 0.949152542373
20 001.002 0 0.116719007492 1.04848186444 2.98486399651 0.421824216843 0.952486038208 1.92033100128 2.12885189056 0.902542372881
25 001.002 0 0.146800041199 1.60972959518 3.45709300041 0.79359793663 1.55647706985 2.39257693291 2.64944887161 0.728
30 001.002 0 0.231868982315 1.92408936691 5.01589918137 1.05217909813 1.77365517616 3.03611707687 3.38844394684 0.672
35 001.002 0 0.529211997986 2.72971485382 6.53960084915 1.37912106514 2.71935486794 3.99693703651 4.41522693634 0.562015503876
40 001.002 0 0.425599098206 3.07951238522 5.96355485916 1.8474919796 3.10254406929 4.50704813004 4.86238193512 0.530769230769
50 001.002 0 0.288957118988 4.28957794842 8.01976704597 2.36570096016 4.29822397232 6.36557507515 6.96042203903 0.454887218045
60 001.002 0 0.477074861526 4.79866989759 11.4239931107 1.74571108818 4.99570894241 6.85152506828 7.37184095383 0.376923076923
70 001.002 0 0.432461023331 6.44826313853 12.5041348934 3.73857593536 6.45767807961 9.34154701233 10.0123538971 0.220833333333
80 001.002 0 0.575181007385 7.66171293435 17.3161501884 3.00009202957 7.65873503685 11.5324258804 12.2106790543 0.133333333333
90 001.002 0 0.918999910355 8.64739477805 25.0882940292 4.15004611015 8.21264696121 15.5433149338 16.7866020203 0.139285714286
100 001.002 0 0.627516031265 10.2440651519 26.3669970036 2.88225483894 10.9087591171 15.5481441021 17.2008259296 0.148854961832
120 001.002 0 0.422489881516 12.6880767033 48.5073809624 4.7946908474 13.4728140831 17.8396861553 18.9277789593 0.094262295082
140 001.002 0 0.292881965637 14.0374310434 48.1397018433 2.3067548275 12.5787038803 25.3780710697 36.4138622284 0.120833333333
160 001.002 0 0.578622102737 18.6854359468 69.2992911339 7.47300505638 16.8763871193 34.8407280445 38.3744850159 0.0583333333333
180 001.002 0 2.68927097321 21.5648078997 51.3536798954 12.0053761005 18.4284858704 35.7797129154 39.9537200928 0.0122950819672
200 001.002 0 3.90254712105 25.2309077465 97.6681919098 9.97488379478 25.9897627831 36.8593058586 40.8374888897 0.014598540146
250 001.002 0 10.3966639042 30.296979131 71.221143961 19.6063809395 27.8362798691 43.979763031 48.9617929459 0.0
300 001.002 0 10.8650698662 35.6571633895 75.3875031471 21.558879137 36.2933950424 48.5331830978 57.5169360638 0.0
