CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
20 17.475 0 0.0139768123627 0.506670936767 15.4300670624 0.0522820949554 0.231395959854 1.07151603699 1.54829192162 0.969755292824 0.969755292824 0 0 0 0
40 15.555 0 0.0840480327606 1.92235819453 15.093351841 0.420814990997 1.28759908676 3.93998789787 5.4069108963 0.774188562597 0 0 0.774188562597 0 0
60 19.44 0 0.226588010788 2.4425367109 9.55966496468 1.24660301208 2.05369400978 4.42052602768 5.03494000435 0.607877136487 0 0 0 0.607877136487 0
80 19.315 0 0.275209903717 3.51443148832 14.3886399269 2.01606297493 3.18920683861 5.6531150341 6.3562438488 0.497493734336 0 0 0 0 0.497493734336
100 18.93 0 0.203510046005 4.6755412147 15.7244179249 2.72335100174 4.26217794418 7.25186991692 8.11303400993 0.428517013713 0 0 0 0 0.428517013713
150 18.36 0 0.229373931885 7.51077616689 37.6960349083 3.75269699097 6.91364717484 11.9479799271 14.3076798916 0.208475914714 0 0 0 0 0.208475914714
200 17.58 0 1.49477410316 10.651549606 28.3498079777 7.18763113022 10.1567480564 15.1809520721 17.1461241245 0.0448523323213 0 0 0 0 0.0448523323213
250 18.02 0 3.5788538456 13.2297280574 35.9762949944 8.43989109993 12.6095900536 18.5730361938 20.8980009556 0.0254965110038 0 0 0 0 0.0254965110038
300 17.725 0.0282007896221 6.32322096825 16.2713143386 53.626928091 11.3929860592 15.4077091217 21.8113620281 25.7951750755 0.00786120899973 0 0 0 0 0.00786120899973
400 16.89 4.73773265651 6.7545208931 18.4545770423 77.0625209808 12.6945178509 17.2801268101 28.2260460854 33.3601911068 0.00589159465829 0 0 0 0 0.00589159465829
500 15.675 10.9375 6.03959488869 19.4165354805 91.424672842 13.4141759872 19.178426981 32.8941190243 44.6153590679 0.00385802469136 0 0 0 0 0.00385802469136
600 14.755 17.6618303571 6.84675788879 19.8662586557 111.612998962 14.6346509457 21.4466459752 36.8460249901 48.4297189713 0.000123183050012 0 0 0 0 0.000123183050012
