CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 002.001 0 0.0238978862762 0.906789939169 15.2856550217 0.0806670188904 0.196100950241 4.06097698212 6.19922804832 0.911971830986
40 002.001 0 0.343753814697 1.36311227907 8.38040089607 0.460865020752 1.01427698135 2.25677204132 2.80400013924 0.825203252033
60 002.001 0 0.529864788055 2.04808224538 4.7949450016 1.30121803284 1.95164585114 3.12427902222 3.62783002853 0.611464968153
80 002.001 0 0.592211008072 3.22161861488 7.52595496178 2.07274198532 3.14514708519 4.77427697182 5.43279480934 0.496428571429
100 002.001 0 0.623929023743 4.45793492765 10.2110109329 2.87826418877 4.15764379501 6.39104008675 8.51914191246 0.439024390244
150 002.001 0 0.656883001328 6.88326938629 25.9304959774 4.15970897675 6.15995407104 11.2039289474 12.8097219467 0.228
200 002.001 0 2.25495100021 9.81320806786 18.744767189 7.26309084892 9.36903500557 14.8747270107 15.4795980453 0.0259259259259
250 002.001 0 4.16793489456 12.226305145 29.954241991 8.78737211227 12.1480169296 15.4603059292 17.6813318729 0.009375
300 002.001 0 6.78738617897 15.3110421975 51.7826769352 11.7942340374 14.144744873 20.7701981068 23.9464428425 0.0
400 002.001 7.33944954128 6.7545208931 22.2961474158 72.0172240734 12.5181429386 16.743473053 45.3024790287 63.1232829094 0.0
500 002.001 14.6726862302 7.95542216301 29.1732421879 117.820423126 13.7207648754 20.2122209072 63.1170489788 63.1377229691 0.0
600 002.001 24.9523809524 9.44411301613 36.1836334537 143.761317015 15.810131073 25.2740521431 63.1367409229 63.1600170135 0.0
