CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 18.185 0 0.00412487983704 0.486888898543 15.4300670624 0.0418660640717 0.216466903687 1.04828596115 1.50967311859 0.969755292824
40 16.175 0 0.00435590744019 1.84867274905 15.093351841 0.336889982224 1.24094414711 3.88805699348 5.17614889145 0.774188562597
60 20.185 0 0.00407004356384 2.35238611146 9.55966496468 1.14368200302 2.01353883743 4.36874294281 4.99740099907 0.607877136487
80 19.95 0 0.00393581390381 3.40256863142 14.3886399269 1.86242818832 3.14403295517 5.61705803871 6.32488703728 0.497493734336
100 19.69 0 0.00383806228638 4.49507339737 15.7244179249 2.41733193398 4.20067596436 7.17806100845 8.0789949894 0.428517013713
150 18.995 0 0.00401091575623 7.25969204654 37.6960349083 2.83680200577 6.82481384277 11.8315680027 14.2366070747 0.208475914714
200 18.145 0 1.05736398697 10.3239044982 28.3498079777 6.66185998917 9.97820210457 15.0197110176 16.9743149281 0.0456048498209
250 18.725 0 3.0144469738 12.762225032 35.9762949944 7.34465312958 12.4490318298 18.0300657749 20.0496320724 0.026435246996
300 18.565 0.0269323996768 4.19992399216 15.6135753283 63.1434528828 10.1673278809 15.0132339001 21.2226061821 25.0883030891 0.00781039590628
400 19.24 4.3659043659 4.6207690239 19.8755005593 117.571017027 9.75022602081 16.610243082 30.6549520493 50.5090839863 0.00584719334719
500 19.59 9.82644206228 5.2891960144 24.0204470543 141.650061131 8.97448992729 17.9824428558 63.0861489773 63.1261818409 0.00382848392037
600 20.425 15.4957160343 5.99447202682 28.0159305828 143.761317015 8.19470405579 19.9751858711 63.1249659061 63.1420810223 0.000122399020808
