CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
20 18.755 0 0.0317149162292 0.411226613208 12.3379590511 0.0395820140839 0.142395973206 0.940284967422 1.53264808655 0.973406988695 0.973406988695 0 0 0 0
40 22.555 0 0.0320119857788 1.11057646611 14.1223871708 0.0440180301666 0.242882013321 5.06549596786 6.22108101845 0.884705631399 0 0.884705631399 0 0 0
60 22.515 0 0.0329649448395 2.02425535578 15.2049078941 0.0475950241089 0.315937995911 9.52166104317 11.5215899945 0.825882352941 0 0 0.825882352941 0 0
80 22.275 0 0.0330929756165 2.91830715373 24.2204890251 0.0498571395874 0.380854129791 13.6473648548 16.708067894 0.807212055974 0 0 0.807212055974 0 0
100 20.935 0 0.0327439308167 4.15218651383 28.3157241344 0.052365064621 0.455445051193 19.4854450226 22.307929039 0.796785304248 0 0 0.796785304248 0 0
150 21.17 0.0236127508855 0.0327768325806 6.18523371774 49.2005739212 0.0593400001526 0.78326010704 29.3366069794 33.9088919163 0.74417815962 0 0 0.74417815962 0 0
200 14.75 4.93071221399 0.0326540470123 9.63129695538 50.0345010758 0.0724561214447 1.81634998322 43.1399309635 46.2837300301 0.588324258923 0 0 0 0.588324258923 0
250 10.16 18.0314643001 0.0344800949097 10.2071116971 50.0367410183 1.07949304581 7.39928197861 40.7794499397 45.2320640087 0.280711610487 0 0 0 0 0.280711610487
300 8.47 33.7504888541 1.21716308594 11.0347062832 56.1579191685 4.64912486076 11.7052781582 43.7623748779 48.5613729954 0.162127346338 0 0 0 0 0.162127346338
400 10.575 57.8853046595 5.13725805283 7.79954015316 59.701239109 9.26671409607 14.0325620174 48.9662878514 53.6583890915 0.261426978818 0 0 0 0 0.261426978818
500 10.505 74.5147986414 4.84861803055 4.8147884887 59.8894631863 9.75067806244 14.3547539711 47.7311708927 54.2465143204 0.351332479926 0 0 0 0 0.351332479926
600 11.195 80.5168813087 6.22494411469 3.42530528397 59.7569160461 8.84518313408 13.9085288048 33.6276049614 52.0493280888 0.38386988033 0 0 0 0 0.38386988033
