CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 24.76 0 0.0324800014496 0.183758647935 13.1957559586 0.0361127853394 0.0588579177856 0.40754199028 0.429562807083 0.995052504039
40 51.85 0 0.0321519374847 0.143898019772 1.51813817024 0.0360019207001 0.0598077774048 0.411981105804 0.438452005386 0.999951783992
60 71.145 0 0.0316069126129 0.215473273808 21.9696779251 0.0355961322784 0.0631008148193 0.43162894249 0.486302137375 0.993147796753
80 90.05 0 0.0318510532379 0.249619948407 26.0021858215 0.037015914917 0.0898849964142 0.47184586525 0.603837013245 0.991588006663
100 109.25 0 0.0315039157867 0.28606036148 24.5679490566 0.0375809669495 0.0888488292694 0.526716947556 0.783962965012 0.987139588101
150 134.775 0 0.0308561325073 0.483480166956 26.6125040054 0.0445668697357 0.169475078583 1.04627299309 1.77371406555 0.965498052309
200 151.98 0 0.0311279296875 0.688011966586 21.7815599442 0.054976940155 0.343430042267 1.6539208889 2.94817304611 0.942344387419
250 158.17 0 0.0313901901245 0.945973149313 17.6562600136 0.0683500766754 0.531713962555 2.51335191727 3.69134688377 0.91205664791
300 162.645 0 0.0318539142609 1.21795409637 16.7953190804 0.138295888901 0.811568021774 3.17695593834 3.94582009315 0.879399920071
400 160.82 0 0.0783829689026 1.85939647803 16.5111830235 0.79120182991 1.37782597542 3.75132513046 4.39072299004 0.783484641214
500 157.06 0 0.538835048676 2.55898934158 18.2434880733 1.43061494827 2.05110692978 4.43719696999 5.14122509956 0.550808608175
600 151.34 0 1.00182700157 3.3469797953 22.4425508976 2.10622692108 2.81665706635 5.22241806984 5.92711806297 0.481283864147
