CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 0.566666666667 0 0.0389330387115 0.765036035984 10.4331400394 0.0415270328522 0.0713260173798 1.07384109497 10.4331400394 0.947368421053 0.947368421053 0 0 0 0
5 5.33333333333 0 0.0317709445953 0.121794958413 1.1530790329 0.0381729602814 0.0648138523102 0.259310007096 0.344932079315 1.0 1.0 0 0 0 0
10 9.53333333333 0 0.031240940094 0.161037447569 2.19432497025 0.0365281105042 0.0699141025543 0.245942115784 0.384222984314 0.988745980707 0.988745980707 0 0 0 0
15 14.4333333333 0 0.0318911075592 0.150008553445 1.69166588783 0.0458569526672 0.0926530361176 0.291813135147 0.378817081451 1.0 1.0 0 0 0 0
30 24.3 0 0.0340688228607 0.318719687612 1.51851177216 0.0766139030457 0.261929035187 0.634441137314 0.771383047104 1.0 1.0 0 0 0 0
50 24.7666666667 0 0.0980710983276 1.08301418819 3.74353408813 0.523116111755 0.980065107346 1.78361988068 2.02106904984 0.915527950311 0 0.915527950311 0 0 0
75 22.9666666667 0 0.10306596756 2.28433154214 8.59041905403 0.747044086456 2.03769207001 4.15646505356 4.81089496613 0.686429512516 0 0 0 0.686429512516 0
100 20.7666666667 0 0.0528359413147 3.82637966732 18.2943201065 1.17116904259 3.13398385048 7.26330518723 8.7813680172 0.531976744186 0 0 0 0.531976744186 0
150 22.5 0 0.0697150230408 5.64691302759 31.1084780693 1.01915287971 4.37062096596 12.7726070881 15.2189970016 0.459294436906 0 0 0 0 0.459294436906
200 22.3333333333 0 0.968375205994 7.84267435323 36.9260549545 2.12150406837 6.37839412689 15.4231259823 18.8239820003 0.329071332436 0 0 0 0 0.329071332436
300 22.7666666667 0 4.21057391167 12.2809875675 52.0650389194 5.65062594414 10.5945239067 20.6774160862 26.0415730477 0.125161290323 0 0 0 0 0.125161290323
