CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 0.633333333333 0 0.0329999923706 0.684505926933 10.4331400394 0.0370030403137 0.0671548843384 1.0408411026 10.4331400394 0.947368421053
5 5.93333333333 0 0.0312960147858 0.109478614304 1.1530790329 0.0331699848175 0.0617530345917 0.219009160995 0.300738096237 1.0
10 10.3666666667 0 0.0312008857727 0.148092315128 2.05608296394 0.0345838069916 0.0644981861115 0.242290973663 0.373985052109 0.988745980707
15 15.7 0 0.0312850475311 0.138090243512 1.3007979393 0.0388679504395 0.0764210224152 0.283490896225 0.374703168869 1.0
30 26.5333333333 0 0.0314958095551 0.291892779233 1.48312687874 0.0513551235199 0.230098009109 0.61501789093 0.767590999603 1.0
50 26.8333333333 0 0.0314109325409 0.999601915312 3.74353408813 0.241933107376 0.922215938568 1.75380706787 1.99556088448 0.915527950311
75 25.3 0 0.0309782028198 2.07365537883 8.59041905403 0.238527059555 1.88543510437 4.07253098488 4.67098808289 0.686429512516
100 22.9333333333 0 0.0313341617584 3.46487577433 18.2943201065 0.398571968079 2.93664693832 7.09876203537 8.63977313042 0.531976744186
150 24.5666666667 0 0.0313029289246 5.17186742689 31.1084780693 0.250032901764 3.86332201958 12.2953081131 15.051502943 0.459294436906
200 24.9666666667 0 0.699409008026 7.02845623846 36.9260549545 1.40468478203 5.28917908669 14.9607069492 17.954761982 0.333110814419
300 26.6 0 4.0319340229 10.6607921109 52.0650389194 4.85099315643 8.5844039917 19.1867439747 24.2725300789 0.134711779449
