CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
20 6.045 0 0.0432870388031 2.64486902622 15.4704618454 0.60431098938 2.08336091042 5.04251217842 6.61500906944 0.662332545311 0 0 0 0.662332545311 0
40 6.235 0 0.199136018753 5.7651270583 20.6916670799 2.13569402695 5.04243993759 10.7506928444 12.8074791431 0.370356330553 0 0 0 0 0.370356330553
60 6.12 0 0.150738954544 9.03495122463 46.1991670132 3.61534500122 8.28408098221 15.3443779945 18.1127679348 0.207317073171 0 0 0 0 0.207317073171
80 6.54 0 0.179757118225 11.4668353442 35.8098158836 5.36232995987 10.052929163 21.6100940704 25.5705831051 0.147851420248 0 0 0 0 0.147851420248
100 5.095 0 0.397505044937 18.2602534708 73.4854609966 7.29468512535 14.1587071419 34.6741540432 39.8934619427 0.0797629899727 0 0 0 0 0.0797629899727
150 5.25 0 0.160315990448 27.2286447729 95.9895040989 6.24368095398 24.2353360653 49.7107930183 60.0945250988 0.149656946827 0 0 0 0 0.149656946827
200 5.355 0 3.99444103241 36.5865044578 138.595690727 14.81772995 29.496062994 65.0926017762 85.4415431022 0.0154346060114 0 0 0 0 0.0154346060114
250 5.105 0 9.72211694717 49.1214063523 139.83227706 21.1942169666 40.3490459919 89.7338502407 103.037111282 0.0 0 0 0 0 0.0
300 4.475 2.18579234973 14.6869089603 62.4820534216 152.58394289 29.6613650322 61.8433358669 95.2628409863 100.925803184 0.0 0 0 0 0 0.0
400 3.845 22.5579053374 24.2487740517 59.0677899849 176.977778196 48.7739861012 73.2512049675 104.335866928 117.671878099 0.0 0 0 0 0 0.0
500 3.66 39.3537696769 25.5678701401 47.9737631224 225.209738016 45.8682739735 72.4865479469 118.005776167 154.898576021 0.0 0 0 0 0 0.0
