CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 001.001 0 0.911653995514 4.43780893882 8.93007612228 1.80129289627 3.96888709068 7.84360289574 8.87026786804 0.408333333333
40 001.001 0 1.1114051342 6.52580568525 13.271777153 4.15102601051 6.07166099548 9.83042693138 11.994546175 0.246031746032
60 001.001 0 6.20784807205 9.98725889524 21.3043348789 7.52529191971 9.47409892082 13.164949894 13.3642559052 0.0
80 001.001 0 8.47150802612 13.6074256025 30.4463961124 9.30430793762 12.2151150703 18.1519060135 29.4468140602 0.0
100 001.001 0 9.71800088882 19.2231757901 46.1428580284 11.8326818943 18.5097219944 26.6363549232 36.6499211788 0.0
150 001.001 0 17.0549311638 41.6753703282 88.9636001587 20.211673975 27.4947319031 83.6077649593 85.2610480785 0.0
200 001.001 0 19.8077449799 41.0332261438 123.091681957 24.4360940456 35.3688130379 69.1733129025 80.8102779388 0.0
250 001.001 0 23.4044599533 50.5421652329 107.490876198 34.6652460098 51.9123528004 62.4433729649 71.9570939541 0.0
300 001.001 2.61780104712 20.7503459454 58.6415374828 98.9073870182 30.1928551197 59.2027728558 78.0524230003 84.2706010342 0.0
400 001.001 27.6923076923 26.0791759491 71.3092206075 176.977778196 49.6389169693 64.5300190449 101.164848089 104.94878912 0.0
500 001.001 47.3958333333 34.22189188 71.2051776755 171.362854004 49.568710804 63.1349828243 101.78368187 121.582130909 0.0
