CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 6.345 0 0.0314939022064 2.51981611718 15.3570239544 0.438258886337 1.98214197159 4.90502095222 6.54014205933 0.662332545311
40 6.595 0 0.0309181213379 5.45042717339 20.6916670799 1.73141002655 4.85297679901 10.525370121 12.537238121 0.370356330553
60 6.36 0 0.0316479206085 8.69410297556 46.1991670132 3.08434605598 8.0798368454 15.2265598774 17.9946491718 0.207940251572
80 6.865 0 0.0312809944153 10.9239771524 35.691576004 5.06480503082 9.59923505783 21.1916279793 25.3612217903 0.147851420248
100 5.485 0 0.031201839447 16.9618945185 73.4854609966 6.28150296211 12.6998391151 34.0998458862 39.1720349789 0.0797629899727
150 5.83 0 0.0311539173126 24.5197916051 95.9895040989 0.190580129623 22.8810620308 48.0236918926 56.2140319347 0.149656946827
200 6.175 0 2.71737790108 31.7610402766 134.128188848 9.54190015793 24.8037509918 57.1826379299 75.7690968513 0.0153846153846
250 6.195 0 6.91227698326 40.6605627112 139.83227706 16.1866018772 33.8947849274 74.005300045 85.7443749905 0.0
300 5.84 1.71232876712 10.8576190472 50.4577189172 144.622087002 22.693931818 53.0262651443 76.544711113 88.1480920315 0.0
400 6.2 18.064516129 17.1438448429 60.0247494053 176.977778196 25.8086369038 63.1129097939 96.3223938942 102.044980049 0.0
500 7.155 33.1935709294 18.4886620045 63.0062237287 225.209738016 28.8547418118 63.1171879768 95.2980530262 118.824495077 0.0
