CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 1.06666666667 0 0.0377850532532 0.183822162449 0.741858005523 0.0404720306396 0.0901510715485 0.54679107666 0.674074172974 1.0 1.0 0 0 0 0
5 4.06666666667 0 0.0426781177521 0.372435489639 2.05127215385 0.0689599514008 0.302093982697 0.732797145844 0.904788017273 0.992647058824 0.992647058824 0 0 0 0
10 7.53333333333 0 0.0366508960724 0.416478233 7.84231591225 0.0454158782959 0.128008127213 1.01794290543 1.82181787491 0.97 0.97 0 0 0 0
15 12.0 0 0.0362019538879 0.419950105747 4.98609495163 0.0513050556183 0.184216022491 1.09999608994 1.54849696159 0.974747474747 0.974747474747 0 0 0 0
30 17.2 0 0.0354979038239 0.864022116328 3.78712487221 0.0919041633606 0.647349834442 1.96951699257 2.35163712502 0.909734513274 0 0.909734513274 0 0 0
50 17.7 0 0.053004026413 1.95662319952 8.17865085602 0.409333944321 1.88921713829 3.75099992752 4.1491060257 0.744047619048 0 0 0.744047619048 0 0
75 18.8333333333 0 0.25177693367 3.17656065215 6.63196182251 1.9800620079 3.07671093941 4.68230891228 5.31631302834 0.552674230146 0 0 0 0.552674230146 0
100 17.7 0 0.388779878616 4.78150836716 9.88285398483 3.30158805847 4.43100690842 6.98392415047 7.76084494591 0.459552495697 0 0 0 0 0.459552495697
150 15.3333333333 3.56394129979 3.70335006714 8.4791595471 15.2695760727 6.50826382637 8.35536003113 12.4727940559 13.3979020119 0.110017889088 0 0 0 0 0.110017889088
200 11.3 45.8466453674 5.49458813667 5.85461519435 19.8552649021 9.0054101944 10.3364641666 14.1600887775 15.0346341133 0.238719068413 0 0 0 0 0.238719068413
300 8.23333333333 77.4635036496 6.72588396072 2.8451348628 22.8316881657 11.0380818844 12.3862860203 14.4138200283 16.6114141941 0.347428073235 0 0 0 0 0.347428073235
