CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 005.001 0 0.0639300346375 0.0777439276377 0.0918388366699 0.0639300346375 0.0774629116058 0.0918388366699 0.0918388366699 1.0
5 005.001 0 0.049910068512 0.294135753925 1.69777297974 0.0557949542999 0.144037008286 0.612941980362 1.69777297974 0.961538461538
10 005.001 0 0.0491619110107 0.718756737916 7.84231591225 0.0505819320679 0.0602288246155 1.69349193573 1.8467259407 0.913043478261
15 005.001 0 0.0486390590668 0.220013002555 1.85176301003 0.0529968738556 0.102745056152 0.329101085663 1.70868086815 0.972222222222
30 005.001 0 0.0491619110107 0.609997664468 2.74476289749 0.0561389923096 0.46159696579 1.57896614075 2.21559786797 0.949152542373
50 005.001 0 0.2029941082 1.23019299507 3.26342988014 0.450390100479 0.974347114563 2.3562579155 2.57989001274 0.85
75 005.001 0 0.433037042618 2.87602362348 5.09179997444 1.93030714989 3.02884888649 3.88974308968 4.09557104111 0.514925373134
100 005.001 0 1.40782499313 4.23673358891 8.36497497559 3.11488509178 3.93595695496 5.94857811928 6.77433800697 0.458333333333
150 005.001 0 3.94946503639 7.6646305493 15.2695760727 6.28240299225 7.41859197617 9.34938812256 9.96524405479 0.0285714285714
200 005.001 32.0 5.02239394188 8.12508241653 11.1685550213 5.02433800697 9.1505920887 10.2939450741 10.492598772 0.16
300 005.001 66.6666666667 5.02300786972 7.40944666334 12.4475309849 5.02300786972 5.56027603149 12.4475309849 12.4475309849 0.333333333333
