CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 1.2 0 0.0342960357666 0.163397477733 0.705228090286 0.0366299152374 0.0674579143524 0.54679107666 0.674074172974 1.0
5 4.53333333333 0 0.0338878631592 0.334096542176 2.05127215385 0.0549058914185 0.256256103516 0.675355911255 0.904788017273 0.992647058824
10 8.33333333333 0 0.0332911014557 0.376496322632 7.84231591225 0.0389997959137 0.101657867432 0.917171955109 1.69349193573 0.97
15 13.2 0 0.032910823822 0.381772823406 4.98609495163 0.0392379760742 0.149705886841 1.05159401894 1.51497006416 0.974747474747
30 18.8333333333 0 0.0330879688263 0.789089224824 3.78712487221 0.0558059215546 0.556192874908 1.8994948864 2.29671907425 0.909734513274
50 19.6 0 0.0328729152679 1.76695054242 6.7015619278 0.111877918243 1.58588790894 3.6583378315 4.03593111038 0.744047619048
75 20.5666666667 0 0.0337319374084 2.90884403317 6.63196182251 0.616811037064 2.95929098129 4.5432498455 5.18033385277 0.552674230146
100 19.4333333333 0 0.379245996475 4.36067236226 9.04187512398 2.14148807526 4.24929380417 6.5053730011 7.21603798866 0.460548885077
150 19.0 3.33333333333 2.78065705299 7.33247154094 15.2695760727 4.17770600319 7.4720480442 9.77021694183 10.3444530964 0.117543859649
200 23.4666666667 41.6193181818 3.88589882851 7.63170372254 18.6776020527 5.02251410484 6.81273198128 10.9598670006 11.7261650562 0.245028409091
300 38.6 74.1796200345 4.93213486671 6.97854472668 22.8316881657 5.0248260498 5.40597105026 12.3862860203 13.1397609711 0.348445595855
