CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 1.175 0 0.0183749198914 0.225774721389 0.927085876465 0.0193829536438 0.0569310188293 0.65434217453 0.681869983673 1.0 1.0 0 0 0 0
2 2.15 0 0.0174038410187 0.256341508932 1.73325800896 0.0196449756622 0.105359077454 0.683563947678 0.891128063202 0.997767857143 0.997767857143 0 0 0 0
3 3.29 0 0.0174889564514 0.254548456531 1.83598303795 0.0198287963867 0.108441829681 0.693823814392 0.833503007889 0.998538011696 0.998538011696 0 0 0 0
4 4.315 0 0.0170619487762 0.261573946766 2.18434906006 0.0199480056763 0.114612102509 0.71580696106 0.89339017868 0.997216035635 0.997216035635 0 0 0 0
5 5.07 0 0.0170679092407 0.324941255637 2.6467628479 0.0202159881592 0.13042807579 0.816154003143 1.23174905777 0.981990521327 0.981990521327 0 0 0 0
7 6.675 0 0.0168130397797 0.409059659015 3.55856227875 0.0290529727936 0.201927185059 1.06180119514 1.4892539978 0.976258992806 0.976258992806 0 0 0 0
10 7.8 0 0.0172648429871 0.639573737597 5.34143805504 0.0382189750671 0.328665971756 1.68274474144 2.53826618195 0.943349753695 0.943349753695 0 0 0 0
15 8.55 0 0.0183379650116 1.12105212504 7.93565320968 0.149811983109 0.717106103897 2.67369914055 3.73270106316 0.882088714206 0 0.882088714206 0 0 0
20 8.6 0 0.0192530155182 1.66931576452 8.56334900856 0.508493900299 1.3125910759 3.34795594215 4.37426114082 0.795821727019 0 0 0.795821727019 0 0
25 8.525 0 0.0591189861298 2.29701471692 8.85291194916 0.9020819664 1.92510008812 4.2069299221 5.08780622482 0.658873239437 0 0 0 0.658873239437 0
30 8.745 0 0.168606042862 2.73948730395 10.9751820564 1.1795361042 2.38803315163 4.89788913727 5.7794919014 0.600218459858 0 0 0 0.600218459858 0
35 8.575 0 0.080530166626 3.4522736851 10.9604129791 1.72260594368 3.01467585564 5.85710716248 6.78507184982 0.498591549296 0 0 0 0 0.498591549296
40 8.915 0 0.219798088074 3.84375461901 11.3276600838 2.01545190811 3.53245902061 6.10247492791 6.996519804 0.475471698113 0 0 0 0 0.475471698113
50 8.68 0 0.275511026382 5.06850631061 19.6745269299 2.53342199326 4.52494597435 8.48112010956 9.70700597763 0.390504939627 0 0 0 0 0.390504939627
70 8.61 0 0.449434041977 7.50691199026 24.7389259338 3.91148591042 6.48353600502 12.8720149994 14.5702779293 0.252380952381 0 0 0 0 0.252380952381
90 7.53 2.20779220779 1.30083298683 10.7848874349 25.7976078987 6.56104397774 10.6952500343 15.5612010956 17.7862761021 0.0791564792176 0 0 0 0 0.0791564792176
110 4.455 40.4411764706 3.16178798676 10.7815224849 38.944920063 13.1215929985 17.8377070427 23.911839962 26.1608088017 0.227066817667 0 0 0 0 0.227066817667
200 3.585 83.9883876731 5.84563183784 3.199068264 44.4926199913 17.1041181087 19.6751279831 23.7901299 28.4639279842 0.407217595558 0 0 0 0 0.407217595558
