CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.001 0 0.489506006241 0.546410512924 0.684569120407 0.491319894791 0.522745132446 0.684569120407 0.684569120407 1.0
2 001.001 0 0.448240995407 0.615537047386 1.13607287407 0.480762958527 0.546581029892 0.951024055481 1.13607287407 1.0
3 001.001 0 0.436541080475 0.67979817207 1.83598303795 0.452696800232 0.613816976547 0.91021490097 1.36048388481 0.980769230769
4 001.001 0 0.443273067474 0.713432501344 2.18434906006 0.471717119217 0.638140201569 0.83470916748 1.71206498146 0.970588235294
5 001.001 0 0.343430995941 0.790503144264 2.64524888992 0.506031990051 0.643980026245 1.25337481499 2.43005084991 0.975
7 001.001 0 0.446256160736 0.930445020849 2.86735105515 0.562832117081 0.829599142075 1.34025192261 2.07048010826 0.972727272727
10 001.001 0 0.439604043961 1.16509780961 2.69158792496 0.600802898407 0.966166973114 1.90283107758 2.11526107788 0.854838709677
15 001.001 0 0.402001142502 1.65899899386 4.54209399223 0.91256403923 1.48462796211 2.76498913765 2.88941311836 0.760869565217
20 001.001 0 0.631083011627 2.16247942107 4.94467496872 1.25470805168 2.0495929718 3.33460998535 3.46857213974 0.592857142857
25 001.001 0 1.14915895462 2.72485282308 4.90743899345 1.66622805595 2.49466085434 4.13568615913 4.59036302567 0.539682539683
30 001.001 0 1.58587694168 3.51639645894 6.20080304146 1.99821400642 3.26926779747 5.50566220284 5.98634290695 0.48
35 001.001 0 1.74542999268 4.00356124577 6.94250202179 2.6986811161 3.73413610458 5.8717648983 6.21721100807 0.456140350877
40 001.001 0 2.03280115128 4.9424516791 11.3276600838 2.82698011398 4.95205998421 6.63743209839 8.14873600006 0.423728813559
50 001.001 0 3.01243114471 6.28404471397 10.1851599216 3.95000195503 6.10462093353 8.32310009003 8.98660707474 0.24
70 001.001 0 4.31669402122 8.30916337172 17.5549650192 5.11129713058 8.06331396103 11.7773139477 12.2001490593 0.111111111111
90 001.001 0 7.92897486687 12.4114819012 25.7976078987 8.59225606918 12.4052379131 14.9345397949 20.6181459427 0.0
110 001.001 37.1835443038 4.98272609711 12.613496711 31.0350129604 5.00437688828 14.7491359711 20.0262029171 21.4530301094 0.189082278481
200 001.001 83.2624867163 5.00211310387 7.4847790856 44.4926199913 5.00404310226 5.00514006615 19.2262790203 20.5417668819 0.416445270988
