CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
20 13.765 0 0.0309329032898 0.817320396976 15.6850500107 0.0649580955505 0.262263774872 2.20202612877 3.61824083328 0.922540125611 0 0.922540125611 0 0 0
40 14.005 0 0.0346939563751 2.21008373984 12.0069270134 0.367579936981 1.01178503036 7.47511601448 8.94042181969 0.768489852081 0 0 0.768489852081 0 0
60 13.63 0 0.144911050797 3.75671250682 16.9385299683 1.45243597031 2.5703151226 9.09111213684 10.7805428505 0.489380530973 0 0 0 0 0.489380530973
80 13.205 0 0.0721600055695 5.36865455614 21.6318929195 2.25845599174 4.33725905418 10.40583992 13.5278220177 0.396209386282 0 0 0 0 0.396209386282
100 14.025 0 0.229669094086 6.51695607962 28.3778591156 3.12747001648 5.48186898232 11.4954531193 14.5290539265 0.327217125382 0 0 0 0 0.327217125382
150 12.88 0 0.402703046799 10.9628979004 35.4156248569 4.82595396042 10.3758461475 18.7599811554 23.4651780128 0.152450430228 0 0 0 0 0.152450430228
200 11.74 0 1.43363809586 16.4867664593 51.6000030041 7.55532407761 14.0013871193 29.8141191006 34.0260238647 0.046875 0 0 0 0 0.046875
250 9.945 0 3.22960591316 21.4457950599 66.4020199776 9.78659701347 17.1700620651 43.1892850399 50.1986658573 0.015639589169 0 0 0 0 0.015639589169
300 11.135 0.402504472272 6.01590013504 24.490312658 83.4452629089 11.0236670971 20.2769720554 46.4583671093 59.8064668179 0.00514403292181 0 0 0 0 0.00514403292181
400 10.03 8.31809872029 6.72872114182 29.1551887169 105.447335958 16.1769769192 27.4332420826 56.7427000999 63.2212181091 0.0 0 0 0 0 0.0
500 8.57 18.3420676513 12.4808168411 31.7879945782 135.811005831 24.3971159458 35.1598279476 56.9953219891 63.2752652168 0.00123051681706 0 0 0 0 0.00123051681706
