CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 009.001 0 0.0675399303436 0.441987856379 5.0603928566 0.11362695694 0.328721046448 0.836642980576 1.00053310394 0.990566037736
40 009.001 0 0.183080911636 1.11956314717 5.75887298584 0.419677972794 0.890506029129 1.95324110985 3.2550599575 0.906779661017
60 009.001 0 0.81924700737 2.73776377042 6.11117601395 1.67276000977 2.5027089119 4.19220495224 4.81832194328 0.525
80 009.001 0 2.20412611961 4.92209774123 10.3944151402 2.662981987 4.51956915855 8.06117606163 8.61144018173 0.372222222222
100 009.001 0 0.985564947128 6.16224254914 15.0645091534 3.67707204819 5.00807881355 11.3397190571 13.0021841526 0.330097087379
150 009.001 0 1.08850097656 10.438037432 28.6522209644 5.36707401276 10.733932972 18.189262867 19.0610280037 0.113333333333
200 009.001 0 2.51084685326 15.7590435133 30.7799079418 7.53916215897 13.7004561424 26.482711792 27.626308918 0.011811023622
250 009.001 0 9.75604319572 20.6043709826 54.5082130432 9.90964198112 18.1444170475 34.9622070789 39.5288720131 0.0
300 009.001 0 10.0383310318 23.6665162339 45.477435112 13.6622440815 21.9423129559 36.4865128994 45.477435112 0.0
400 009.001 40.0 14.6016330719 42.1095746517 63.1715781689 14.6016330719 51.6117639542 63.1715781689 63.1715781689 0.0
500 009.001 33.3333333333 28.6517839432 70.3389612834 112.729118824 28.6517839432 69.6359810829 112.729118824 112.729118824 0.0
