CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 14.33 0 0.0309329032898 0.785095273159 15.6850500107 0.0556170940399 0.24467587471 2.15258002281 3.56388282776 0.922540125611
40 14.535 0 0.0310230255127 2.12949589105 12.0069270134 0.298701047897 0.979382991791 7.30069804192 8.81373310089 0.768489852081
60 14.125 0 0.0309329032898 3.62506134286 16.8761248589 1.32539701462 2.50097799301 8.95025110245 10.6918210983 0.489380530973
80 13.85 0 0.0310699939728 5.1186341815 21.6318929195 2.02138900757 4.20174098015 10.097422123 13.4796710014 0.396209386282
100 14.715 0 0.0307397842407 6.21136996376 28.3778591156 2.74137997627 5.27662301064 11.1975450516 14.3472349644 0.327217125382
150 13.365 0 0.0312049388885 10.5650673368 35.4156248569 4.25437498093 10.144808054 18.5597171783 23.2847840786 0.152450430228
200 12.36 0 1.28198719025 15.669106578 51.6000030041 6.32682800293 13.5837438107 27.8863558769 33.7713758945 0.0483414239482
250 10.745 0 2.58781313896 19.8743515302 66.4020199776 9.39532804489 15.7187628746 38.471351862 49.2691040039 0.0155886458818
300 12.265 0.366897676315 4.52871394157 22.6587265339 83.4452629089 10.8221468925 19.0979731083 42.056828022 47.5913009644 0.00509580105993
400 12.655 7.19083366258 6.17602705956 30.3549012033 131.80055809 14.2747659683 25.1650559902 55.1481018066 63.1355998516 0.0
500 12.365 15.5681358674 5.60618400574 37.9351112932 145.798046827 13.9612970352 33.7981238365 63.1264410019 63.1612870693 0.00121310149616
